pid,label,Nombre del producto,Categoría,Año,País,Género,Sentimiento en comun
aqui01,SERIE01,Aquí no hay quien viva,serie de tv,2008,Colombia ,comedia familiar ,intolerancia cotidiana 
frie02,SERIE02,Friends ,serie de tv,1994,EEUU,serie juvenil,amistad/vida en comunidad
cama03,SERIE03,O todos en la cama,serie de tv,1994,Colombia ,serie familiar,amistad/vida en comunidad
depi04,SERIE04,De pies a cabeza,serie de tv,1993,Colombia ,serie juvenil,amistad/vida en comunidad
chav05,SERIE05,La vecindad del chavo,serie de tv,1971,Mexico ,comedia situacional,intolerancia cotidiana 
conj06,SERIE06,Conjunto Cerrado,serie de tv,1996,Colombia ,serie juvenil,amistad/vida en comunidad
okid07,SERIE07,Oki Doki,serie de tv,1992,Colombia ,comedia juvenil,amistad/vida en comunidad
sabo08,SERIE08,Sabor a limon,serie de tv,1995,Colombia ,serie juvenil,amistad/vida en comunidad
tequ09,SERIE09,Te quiero pecas,serie de tv,1988,Colombia ,comedia familiar ,vida en pareja/vida en comunidad
tent10,SERIE10,Tentaciones ,serie de tv,1994,Colombia ,comedia juvenil,pecados/placeres 
entr11,PELI01,Entre Tinieblas,Pelicula,1983,España ,comedia negra,vida en comunidad/trabajo en equipo 
como12,PELI02,Como el gato y el raton,Pelicula,2002,Colombia ,tragicomedia ,ilusión en comunidad
laco13,PELI03,La Comunidad ,Pelicula,2000,España ,comedia negra,estrategia/trabajo en equipo / competencia
laes14,PELI04,La Estrategia del Caracol ,Pelicula,1993,Colombia ,comedia dramática,Sentido de pertenencia 
queh15,PELI05,Que hice yo para merecer esto,Pelicula,1984,España ,tragicomedia ,Resiliencia
thes16,JUEGO01,The Sims ,Videojuego,2000,EEUU,life simulation,amistad/vida en comunidad